2024-12-28 19:17:36.759 [info] Starting Python Locator /home/untergas/.vscode/extensions/ms-python.python-2024.22.1-linux-x64/python-env-tools/bin/pet server
2024-12-28 19:17:36.798 [info] Discovered env: /bin/python
2024-12-28 19:17:36.808 [info] Discovered env: /usr/bin/python
2024-12-28 19:17:36.811 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-28 19:17:36.811 [info] Discovered env: /sbin/python
2024-12-28 19:17:36.816 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-28 19:17:36.816 [info] Discovered env: /usr/sbin/python
2024-12-28 19:17:36.819 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-28 19:17:36.820 [info] Discovered env: /sbin/python3
2024-12-28 19:17:36.853 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-28 19:17:36.854 [info] Discovered env: /usr/sbin/python3
2024-12-28 19:17:36.857 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2024-12-28 19:17:36.857 [info] Discovered env: /sbin/python3.13
2024-12-28 19:17:36.860 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2024-12-28 19:17:36.861 [info] Discovered env: /usr/sbin/python3.13
2024-12-28 19:17:36.865 [info] Locator Conda took 81.909018ms
2024-12-28 19:17:36.865 [info] Locator Homebrew took 98.575µs
2024-12-28 19:17:36.865 [info] Locator LinuxGlobal took 96.90833ms
2024-12-28 19:17:36.865 [info] Locator PipEnv took 23.043µs
2024-12-28 19:17:36.865 [info] Locator Poetry took 482.946µs
2024-12-28 19:17:36.865 [info] Locator PyEnv took 1.326589ms
2024-12-28 19:17:36.865 [info] Locator Venv took 14.908µs
2024-12-28 19:17:36.866 [info] Locator VirtualEnv took 69.921µs
2024-12-28 19:17:36.866 [info] Locator VirtualEnvWrapper took 20.308µs
2024-12-28 19:17:36.866 [info] Locator GlobalVirtualEnvs took 137.578µs
2024-12-28 19:17:36.866 [info] Locator Locators took 98.142716ms
2024-12-28 19:17:36.866 [info] Locator Path took 232.160831ms
2024-12-28 19:17:36.866 [info] Locator Workspaces took 506µs
2024-12-28 19:17:36.866 [info] Refresh completed in 232ms
2024-12-28 19:17:36.923 [info] Resolved Python Environment /bin/python
