2024-12-28 19:30:16.726 [info] Starting Python Locator /home/untergas/.vscode/extensions/ms-python.python-2024.22.1-linux-x64/python-env-tools/bin/pet server
2024-12-28 19:30:16.743 [info] Discovered env: /usr/bin/python
2024-12-28 19:30:16.751 [info] Discovered env: /bin/python
2024-12-28 19:30:16.755 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-28 19:30:16.755 [info] Discovered env: /usr/sbin/python
2024-12-28 19:30:16.760 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2024-12-28 19:30:16.760 [info] Discovered env: /sbin/python
2024-12-28 19:30:16.763 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-28 19:30:16.763 [info] Discovered env: /usr/sbin/python3
2024-12-28 19:30:16.768 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2024-12-28 19:30:16.768 [info] Discovered env: /sbin/python3
2024-12-28 19:30:16.772 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2024-12-28 19:30:16.777 [info] Discovered env: /usr/sbin/python3.13
2024-12-28 19:30:16.780 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.1.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2024-12-28 19:30:16.781 [info] Discovered env: /sbin/python3.13
2024-12-28 19:30:16.789 [info] Locator Conda took 84.559825ms
2024-12-28 19:30:16.789 [info] Locator Homebrew took 40.928µs
2024-12-28 19:30:16.789 [info] Locator LinuxGlobal took 96.717723ms
2024-12-28 19:30:16.789 [info] Locator PipEnv took 143.247µs
2024-12-28 19:30:16.789 [info] Locator Poetry took 541.977µs
2024-12-28 19:30:16.790 [info] Locator PyEnv took 1.099949ms
2024-12-28 19:30:16.790 [info] Locator Venv took 36.668µs
2024-12-28 19:30:16.790 [info] Locator VirtualEnv took 20.045µs
2024-12-28 19:30:16.790 [info] Locator VirtualEnvWrapper took 113.006µs
2024-12-28 19:30:16.790 [info] Locator GlobalVirtualEnvs took 180.193µs
2024-12-28 19:30:16.790 [info] Locator Locators took 97.927813ms
2024-12-28 19:30:16.790 [info] Locator Path took 226.310853ms
2024-12-28 19:30:16.790 [info] Locator Workspaces took 853.196µs
2024-12-28 19:30:16.790 [info] Refresh completed in 226ms
2024-12-28 19:30:16.792 [info] Resolved Python Environment /usr/bin/python
2024-12-28 19:32:59.579 [info] Resolved Python Environment /usr/bin/python
2024-12-28 19:33:50.268 [info] Resolved Python Environment /usr/bin/python
2024-12-28 19:40:52.660 [info] Resolved Python Environment /usr/bin/python
