[2024-12-28 19:16:25.365] [info]  DiscordSplash.signalReady
[2024-12-28 19:16:25.389] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-28 19:16:25.390] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-28 19:16:25.391] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-28 19:16:25.391] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-28 19:16:25.391] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-28 19:16:25.391] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-28 19:16:25.392] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-28 19:16:25.392] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-28 19:16:25.392] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-28 19:16:25.392] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-28 19:16:25.392] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-28 19:16:25.393] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-28 19:16:25.393] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-28 19:16:25.393] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-28 19:16:25.923] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-28 19:16:25.923] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-28 19:16:26.365] [info]  Splash.updateCountdownSeconds: undefined
[2024-12-28 19:16:26.468] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-28 19:16:26.468] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-28 19:16:26.472] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-28 19:16:26.472] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-28 19:16:26.484] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-28 19:16:26.484] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-28 19:16:26.488] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-28 19:16:26.488] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-28 19:16:26.491] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-12-28 19:16:26.491] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2024-12-28 19:16:26.495] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-28 19:16:26.495] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-28 19:16:26.496] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-12-28 19:16:26.496] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2024-12-28 19:16:26.501] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-12-28 19:16:26.501] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2024-12-28 19:16:26.504] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-12-28 19:16:26.504] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2024-12-28 19:16:26.508] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2024-12-28 19:16:26.508] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":15}
[2024-12-28 19:16:26.513] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-12-28 19:16:26.513] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":17}
[2024-12-28 19:16:26.514] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2024-12-28 19:16:26.514] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":20}
[2024-12-28 19:16:26.515] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2024-12-28 19:16:26.515] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
[2024-12-28 19:16:26.517] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2024-12-28 19:16:26.517] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":23}
[2024-12-28 19:16:26.518] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
[2024-12-28 19:16:26.518] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":25}
